"id";"Liga";"Data";"Home";"Away";"golHome";"golAway";"totalGols";"resultado";"golHomeHT";"golawayHT";"resultadoHT";"escanteioHome";"escanteioAway";"totalCantos";"cardAmareloHome";"cardAmareloAway";"cardRedHome";"cardRedAway";"totalgolHT";"total_cartao"
"265290";"LaLiga";"2023-12-21";"Cadiz";"Sociedad";"0";"0";"0";"D";"0";"0";"D";"7";"5";"12";"3";"1";"0";"0";"0";"4"
"265291";"LaLiga";"2023-12-21";"Alaves";"Real Madrid";"0";"1";"1";"A";"0";"0";"D";"3";"3";"6";"3";"1";"0";"1";"0";"5"
"265292";"LaLiga";"2023-12-21";"Mallorca";"Osasuna";"3";"2";"5";"H";"1";"1";"D";"6";"0";"6";"3";"1";"0";"0";"2";"4"
"265293";"BundesLiga";"2023-12-20";"Union Berlin";"FC Koln";"2";"0";"2";"H";"0";"0";"D";"4";"5";"9";"0";"0";"0";"0";"0";"0"
"265294";"BundesLiga";"2023-12-20";"Ein Frankfurt";"M'gladbach";"2";"1";"3";"H";"0";"1";"A";"8";"2";"10";"1";"6";"0";"1";"1";"8"
"265295";"BundesLiga";"2023-12-20";"Heidenheim";"Freiburg";"3";"2";"5";"H";"0";"1";"A";"7";"4";"11";"3";"4";"0";"0";"1";"7"
"265296";"BundesLiga";"2023-12-20";"Leverkusen";"Bochum";"4";"0";"4";"H";"3";"0";"H";"4";"3";"7";"0";"2";"0";"0";"3";"2"
"265297";"BundesLiga";"2023-12-20";"Stuttgart";"Augsburg";"3";"0";"3";"H";"2";"0";"H";"4";"4";"8";"0";"4";"0";"0";"2";"4"
"265298";"BundesLiga";"2023-12-20";"Wolfsburg";"Bayern Munich";"1";"2";"3";"A";"1";"2";"A";"0";"6";"6";"4";"2";"0";"0";"3";"6"
"265299";"Ligue 1";"2023-12-20";"Brest";"Lorient";"4";"0";"4";"H";"4";"0";"H";"1";"0";"1";"1";"2";"0";"0";"4";"3"
"265300";"Ligue 1";"2023-12-20";"Clermont";"Rennes";"1";"3";"4";"A";"1";"0";"H";"4";"5";"9";"0";"3";"1";"0";"1";"4"
"265301";"Ligue 1";"2023-12-20";"Lyon";"Nantes";"1";"0";"1";"H";"0";"0";"D";"7";"7";"14";"1";"2";"1";"0";"0";"4"
"265302";"Ligue 1";"2023-12-20";"Montpellier";"Marseille";"1";"1";"2";"D";"1";"0";"H";"5";"10";"15";"2";"1";"0";"0";"1";"3"
"265303";"Ligue 1";"2023-12-20";"Nice";"Lens";"2";"0";"2";"H";"0";"0";"D";"5";"6";"11";"2";"2";"0";"0";"0";"4"
"265304";"Ligue 1";"2023-12-20";"Paris SG";"Metz";"3";"1";"4";"H";"0";"0";"D";"5";"5";"10";"0";"1";"0";"0";"0";"1"
"265305";"Ligue 1";"2023-12-20";"Reims";"Le Havre";"1";"0";"1";"H";"1";"0";"H";"6";"2";"8";"1";"1";"0";"1";"1";"3"
"265306";"Ligue 1";"2023-12-20";"Strasbourg";"Lille";"2";"1";"3";"H";"1";"1";"D";"6";"5";"11";"1";"2";"0";"0";"2";"3"
"265307";"Ligue 1";"2023-12-20";"Toulouse";"Monaco";"1";"2";"3";"A";"1";"2";"A";"4";"5";"9";"2";"3";"0";"1";"3";"6"
"265308";"LaLiga";"2023-12-20";"Barcelona";"Almeria";"3";"2";"5";"H";"1";"1";"D";"12";"0";"12";"3";"3";"0";"0";"2";"6"
"265309";"LaLiga";"2023-12-20";"Ath Bilbao";"Las Palmas";"1";"0";"1";"H";"0";"0";"D";"5";"2";"7";"1";"3";"0";"0";"0";"4"
"265310";"LaLiga";"2023-12-20";"Villarreal";"Celta";"3";"2";"5";"H";"2";"0";"H";"4";"7";"11";"2";"4";"0";"0";"2";"6"
"265311";"BundesLiga";"2023-12-19";"Werder Bremen";"RB Leipzig";"1";"1";"2";"D";"0";"0";"D";"1";"4";"5";"4";"2";"0";"0";"0";"6"
"265312";"BundesLiga";"2023-12-19";"Dortmund";"Mainz";"1";"1";"2";"D";"1";"1";"D";"6";"1";"7";"0";"4";"0";"0";"2";"4"
"265313";"BundesLiga";"2023-12-19";"Hoffenheim";"Darmstadt";"3";"3";"6";"D";"2";"1";"H";"8";"3";"11";"2";"4";"0";"0";"3";"6"
"265314";"LaLiga";"2023-12-19";"Vallecano";"Valencia";"0";"1";"1";"A";"0";"0";"D";"8";"1";"9";"1";"5";"0";"1";"0";"7"
"265315";"LaLiga";"2023-12-19";"Ath Madrid";"Getafe";"3";"3";"6";"D";"1";"0";"H";"1";"12";"13";"3";"3";"1";"0";"1";"7"
"265316";"LaLiga";"2023-12-19";"Granada";"Sevilla";"0";"3";"3";"A";"0";"2";"A";"6";"4";"10";"2";"1";"0";"0";"2";"3"
"265317";"Serie A";"2023-12-18";"Atalanta";"Salernitana";"4";"1";"5";"H";"0";"1";"A";"10";"7";"17";"1";"2";"0";"0";"1";"3"
"265318";"Liga Portugal";"2023-12-18";"Sp Lisbon";"Porto";"2";"0";"2";"H";"1";"0";"H";"2";"2";"4";"4";"4";"0";"1";"1";"9"
"265319";"LaLiga";"2023-12-18";"Girona";"Alaves";"3";"0";"3";"H";"2";"0";"H";"3";"2";"5";"0";"1";"0";"0";"2";"1"
"265320";"BundesLiga";"2023-12-17";"Freiburg";"FC Koln";"2";"0";"2";"H";"0";"0";"D";"5";"2";"7";"1";"4";"0";"1";"0";"6"
"265321";"BundesLiga";"2023-12-17";"Leverkusen";"Ein Frankfurt";"3";"0";"3";"H";"1";"0";"H";"5";"5";"10";"1";"1";"0";"0";"1";"2"
"265322";"BundesLiga";"2023-12-17";"Bayern Munich";"Stuttgart";"3";"0";"3";"H";"1";"0";"H";"6";"2";"8";"0";"3";"0";"0";"1";"3"
"265323";"Premier League";"2023-12-17";"Arsenal";"Brighton";"2";"0";"2";"H";"0";"0";"D";"10";"1";"11";"1";"3";"0";"0";"0";"4"
"265324";"Premier League";"2023-12-17";"Brentford";"Aston Villa";"1";"2";"3";"A";"1";"0";"H";"7";"12";"19";"6";"4";"1";"1";"1";"12"
"265325";"Premier League";"2023-12-17";"West Ham";"Wolves";"3";"0";"3";"H";"2";"0";"H";"6";"6";"12";"3";"1";"0";"0";"2";"4"
"265326";"Premier League";"2023-12-17";"Liverpool";"Man United";"0";"0";"0";"D";"0";"0";"D";"12";"0";"12";"2";"4";"0";"1";"0";"7"
"265327";"Ligue 1";"2023-12-17";"Nantes";"Brest";"0";"2";"2";"A";"0";"0";"D";"4";"3";"7";"1";"3";"0";"0";"0";"4"
"265328";"Ligue 1";"2023-12-17";"Lorient";"Strasbourg";"1";"2";"3";"A";"0";"1";"A";"6";"1";"7";"3";"2";"0";"0";"1";"5"
"265329";"Ligue 1";"2023-12-17";"Metz";"Montpellier";"0";"1";"1";"A";"0";"1";"A";"12";"5";"17";"2";"2";"0";"0";"1";"4"
"265330";"Ligue 1";"2023-12-17";"Toulouse";"Rennes";"0";"0";"0";"D";"0";"0";"D";"4";"4";"8";"3";"2";"0";"0";"0";"5"
"265331";"Ligue 1";"2023-12-17";"Marseille";"Clermont";"2";"1";"3";"H";"2";"0";"H";"4";"1";"5";"0";"3";"0";"0";"2";"3"
"265332";"Ligue 1";"2023-12-17";"Lille";"Paris SG";"1";"1";"2";"D";"0";"0";"D";"8";"8";"16";"1";"1";"0";"0";"0";"2"
"265333";"Serie A";"2023-12-17";"Milan";"Monza";"3";"0";"3";"H";"2";"0";"H";"4";"5";"9";"1";"2";"0";"0";"2";"3"
"265334";"Serie A";"2023-12-17";"Fiorentina";"Verona";"1";"0";"1";"H";"0";"0";"D";"1";"6";"7";"3";"1";"0";"0";"0";"4"
"265335";"Serie A";"2023-12-17";"Udinese";"Sassuolo";"2";"2";"4";"D";"1";"0";"H";"1";"13";"14";"3";"1";"1";"0";"1";"5"
"265336";"Serie A";"2023-12-17";"Bologna";"Roma";"2";"0";"2";"H";"1";"0";"H";"0";"4";"4";"4";"4";"0";"0";"1";"8"
"265337";"Serie A";"2023-12-17";"Lazio";"Inter";"0";"2";"2";"A";"0";"1";"A";"8";"7";"15";"1";"2";"1";"0";"1";"4"
"265338";"Liga Portugal";"2023-12-17";"Chaves";"Casa Pia";"1";"3";"4";"A";"1";"2";"A";"4";"2";"6";"1";"1";"0";"0";"3";"2"
"265339";"Liga Portugal";"2023-12-17";"Moreirense";"Portimonense";"5";"2";"7";"H";"2";"1";"H";"7";"7";"14";"2";"2";"0";"0";"3";"4"
"265340";"Liga Portugal";"2023-12-17";"Famalicao";"Estoril";"1";"1";"2";"D";"1";"1";"D";"1";"7";"8";"3";"1";"0";"0";"2";"4"
"265341";"Liga Portugal";"2023-12-17";"Sp Braga";"Benfica";"0";"1";"1";"A";"0";"1";"A";"5";"2";"7";"3";"3";"0";"0";"1";"6"
"265342";"LaLiga";"2023-12-17";"Almeria";"Mallorca";"0";"0";"0";"D";"0";"0";"D";"4";"4";"8";"2";"1";"0";"0";"0";"3"
"265343";"LaLiga";"2023-12-17";"Sociedad";"Betis";"0";"0";"0";"D";"0";"0";"D";"3";"7";"10";"3";"4";"0";"0";"0";"7"
"265344";"LaLiga";"2023-12-17";"Las Palmas";"Cadiz";"1";"1";"2";"D";"1";"0";"H";"4";"6";"10";"1";"3";"0";"0";"1";"4"
"265345";"LaLiga";"2023-12-17";"Real Madrid";"Villarreal";"4";"1";"5";"H";"2";"0";"H";"11";"0";"11";"2";"3";"0";"0";"2";"5"
"265346";"BundesLiga";"2023-12-16";"Augsburg";"Dortmund";"1";"1";"2";"D";"1";"1";"D";"4";"7";"11";"2";"1";"0";"0";"2";"3"
"265347";"BundesLiga";"2023-12-16";"Bochum";"Union Berlin";"3";"0";"3";"H";"1";"0";"H";"6";"4";"10";"2";"2";"0";"0";"1";"4"
"265348";"BundesLiga";"2023-12-16";"Darmstadt";"Wolfsburg";"0";"1";"1";"A";"0";"0";"D";"7";"7";"14";"2";"0";"0";"1";"0";"3"
"265349";"BundesLiga";"2023-12-16";"Mainz";"Heidenheim";"0";"1";"1";"A";"0";"1";"A";"8";"1";"9";"3";"3";"0";"0";"1";"6"
"265350";"BundesLiga";"2023-12-16";"RB Leipzig";"Hoffenheim";"3";"1";"4";"H";"1";"1";"D";"9";"2";"11";"3";"2";"0";"0";"2";"5"
"265351";"Premier League";"2023-12-16";"Chelsea";"Sheffield United";"2";"0";"2";"H";"0";"0";"D";"7";"6";"13";"1";"3";"0";"0";"0";"4"
"265352";"Premier League";"2023-12-16";"Man City";"Crystal Palace";"2";"2";"4";"D";"1";"0";"H";"6";"1";"7";"1";"1";"0";"0";"1";"2"
"265353";"Premier League";"2023-12-16";"Newcastle";"Fulham";"3";"0";"3";"H";"0";"0";"D";"5";"1";"6";"0";"2";"0";"1";"0";"3"
"265354";"Premier League";"2023-12-16";"Burnley";"Everton";"0";"2";"2";"A";"0";"2";"A";"8";"6";"14";"0";"1";"0";"0";"2";"1"
"265355";"Ligue 1";"2023-12-16";"Le Havre";"Nice";"3";"1";"4";"H";"2";"0";"H";"2";"9";"11";"3";"2";"1";"1";"2";"7"
"265356";"Ligue 1";"2023-12-16";"Lens";"Reims";"2";"0";"2";"H";"1";"0";"H";"4";"7";"11";"0";"1";"0";"0";"1";"1"
"265357";"Serie A";"2023-12-16";"Lecce";"Frosinone";"2";"1";"3";"H";"1";"1";"D";"5";"4";"9";"1";"4";"0";"0";"2";"5"
"265358";"Serie A";"2023-12-16";"Napoli";"Cagliari";"2";"1";"3";"H";"0";"0";"D";"5";"3";"8";"5";"3";"0";"0";"0";"8"
"265359";"Serie A";"2023-12-16";"Torino";"Empoli";"1";"0";"1";"H";"1";"0";"H";"6";"4";"10";"4";"2";"0";"0";"1";"6"
"265360";"Liga Portugal";"2023-12-16";"Rio Ave";"Vizela";"1";"1";"2";"D";"0";"0";"D";"7";"2";"9";"3";"3";"0";"1";"0";"7"
"265361";"Liga Portugal";"2023-12-16";"Arouca";"Gil Vicente";"3";"0";"3";"H";"1";"0";"H";"4";"6";"10";"2";"0";"0";"0";"1";"2"
"265362";"Liga Portugal";"2023-12-16";"Boavista";"Guimaraes";"1";"1";"2";"D";"0";"1";"A";"7";"8";"15";"6";"2";"0";"0";"1";"8"
"265363";"LaLiga";"2023-12-16";"Celta";"Granada";"1";"0";"1";"H";"1";"0";"H";"7";"1";"8";"6";"2";"1";"0";"1";"9"
"265364";"LaLiga";"2023-12-16";"Ath Bilbao";"Ath Madrid";"2";"0";"2";"H";"0";"0";"D";"3";"7";"10";"0";"1";"0";"0";"0";"1"
"265365";"LaLiga";"2023-12-16";"Sevilla";"Getafe";"0";"3";"3";"A";"0";"2";"A";"4";"2";"6";"3";"3";"0";"0";"2";"6"
"265366";"LaLiga";"2023-12-16";"Valencia";"Barcelona";"1";"1";"2";"D";"0";"0";"D";"4";"6";"10";"1";"2";"0";"0";"0";"3"
"265367";"BundesLiga";"2023-12-15";"M'gladbach";"Werder Bremen";"2";"2";"4";"D";"1";"1";"D";"4";"3";"7";"4";"2";"0";"0";"2";"6"
"265368";"Premier League";"2023-12-15";"Nott'm Forest";"Tottenham";"0";"2";"2";"A";"0";"1";"A";"6";"4";"10";"2";"4";"0";"1";"1";"7"
"265369";"Ligue 1";"2023-12-15";"Monaco";"Lyon";"0";"1";"1";"A";"0";"0";"D";"6";"1";"7";"1";"2";"0";"0";"0";"3"
"265370";"Serie A";"2023-12-15";"Genoa";"Juventus";"1";"1";"2";"D";"0";"1";"A";"6";"8";"14";"2";"3";"0";"0";"1";"5"
"265371";"Liga Portugal";"2023-12-15";"Farense";"Estrela";"0";"0";"0";"D";"0";"0";"D";"6";"9";"15";"2";"1";"0";"0";"0";"3"
"265372";"LaLiga";"2023-12-15";"Osasuna";"Vallecano";"1";"0";"1";"H";"0";"0";"D";"9";"1";"10";"2";"3";"0";"0";"0";"5"
"265373";"Serie A";"2023-12-11";"Empoli";"Lecce";"1";"1";"2";"D";"0";"0";"D";"8";"3";"11";"2";"2";"0";"0";"0";"4"
"265374";"Serie A";"2023-12-11";"Cagliari";"Sassuolo";"2";"1";"3";"H";"0";"1";"A";"10";"4";"14";"1";"7";"0";"1";"1";"9"
"265375";"Liga Portugal";"2023-12-11";"Gil Vicente";"Moreirense";"1";"1";"2";"D";"1";"0";"H";"3";"6";"9";"5";"3";"0";"0";"1";"8"
"265376";"LaLiga";"2023-12-11";"Granada";"Ath Bilbao";"1";"1";"2";"D";"0";"1";"A";"1";"8";"9";"0";"2";"0";"0";"1";"2"
"265377";"LaLiga";"2023-12-11";"Vallecano";"Celta";"0";"0";"0";"D";"0";"0";"D";"8";"1";"9";"3";"0";"0";"0";"0";"3"
"265378";"BundesLiga";"2023-12-10";"Stuttgart";"Leverkusen";"1";"1";"2";"D";"1";"0";"H";"8";"8";"16";"1";"1";"0";"0";"1";"2"
"265379";"BundesLiga";"2023-12-10";"FC Koln";"Mainz";"0";"0";"0";"D";"0";"0";"D";"1";"7";"8";"2";"4";"0";"0";"0";"6"
"265380";"Premier League";"2023-12-10";"Everton";"Chelsea";"2";"0";"2";"H";"0";"0";"D";"4";"8";"12";"2";"2";"0";"0";"0";"4"
"265381";"Premier League";"2023-12-10";"Fulham";"West Ham";"5";"0";"5";"H";"3";"0";"H";"3";"6";"9";"2";"1";"0";"0";"3";"3"
"265382";"Premier League";"2023-12-10";"Luton";"Man City";"1";"2";"3";"A";"1";"0";"H";"6";"3";"9";"2";"1";"0";"0";"1";"3"
"265383";"Premier League";"2023-12-10";"Tottenham";"Newcastle";"4";"1";"5";"H";"2";"0";"H";"3";"6";"9";"1";"3";"0";"0";"2";"4"
"265384";"Ligue 1";"2023-12-10";"Nice";"Reims";"2";"1";"3";"H";"0";"0";"D";"9";"0";"9";"2";"3";"0";"0";"0";"5"
"265385";"Ligue 1";"2023-12-10";"Clermont";"Lille";"0";"0";"0";"D";"0";"0";"D";"3";"6";"9";"2";"2";"0";"0";"0";"4"
"265386";"Ligue 1";"2023-12-10";"Metz";"Brest";"0";"1";"1";"A";"0";"0";"D";"3";"2";"5";"3";"2";"0";"0";"0";"5"
"265387";"Ligue 1";"2023-12-10";"Strasbourg";"Le Havre";"2";"1";"3";"H";"1";"0";"H";"4";"3";"7";"3";"1";"0";"0";"1";"4"
"265388";"Ligue 1";"2023-12-10";"Lyon";"Toulouse";"3";"0";"3";"H";"2";"0";"H";"2";"1";"3";"2";"3";"0";"0";"2";"5"
"265389";"Ligue 1";"2023-12-10";"Lorient";"Marseille";"2";"4";"6";"A";"1";"4";"A";"4";"6";"10";"5";"3";"0";"1";"5";"9"
"265390";"Serie A";"2023-12-10";"Frosinone";"Torino";"0";"0";"0";"D";"0";"0";"D";"3";"8";"11";"3";"3";"0";"0";"0";"6"
"265391";"Serie A";"2023-12-10";"Monza";"Genoa";"1";"0";"1";"H";"0";"0";"D";"2";"3";"5";"1";"2";"0";"0";"0";"3"
"265392";"Serie A";"2023-12-10";"Salernitana";"Bologna";"1";"2";"3";"A";"0";"2";"A";"5";"1";"6";"7";"2";"0";"0";"2";"9"
"265393";"Serie A";"2023-12-10";"Roma";"Fiorentina";"1";"1";"2";"D";"1";"0";"H";"1";"6";"7";"5";"3";"2";"1";"1";"11"
"265394";"Liga Portugal";"2023-12-10";"Estrela";"Boavista";"3";"1";"4";"H";"0";"0";"D";"2";"4";"6";"4";"2";"0";"0";"0";"6"
"265395";"Liga Portugal";"2023-12-10";"Arouca";"Rio Ave";"2";"2";"4";"D";"0";"2";"A";"5";"3";"8";"1";"5";"0";"0";"2";"6"
"265396";"Liga Portugal";"2023-12-10";"Estoril";"Chaves";"4";"0";"4";"H";"1";"0";"H";"3";"6";"9";"4";"3";"0";"0";"1";"7"
"265397";"LaLiga";"2023-12-10";"Ath Madrid";"Almeria";"2";"1";"3";"H";"2";"0";"H";"3";"15";"18";"1";"0";"0";"0";"2";"1"
"265398";"LaLiga";"2023-12-10";"Cadiz";"Osasuna";"1";"1";"2";"D";"1";"0";"H";"2";"4";"6";"1";"2";"0";"0";"1";"3"
"265399";"LaLiga";"2023-12-10";"Barcelona";"Girona";"2";"4";"6";"A";"1";"2";"A";"8";"3";"11";"1";"2";"0";"0";"3";"3"
"265400";"BundesLiga";"2023-12-09";"Ein Frankfurt";"Bayern Munich";"5";"1";"6";"H";"3";"1";"H";"1";"9";"10";"1";"2";"0";"0";"4";"3"
"265401";"BundesLiga";"2023-12-09";"Heidenheim";"Darmstadt";"3";"2";"5";"H";"1";"0";"H";"8";"3";"11";"2";"2";"0";"0";"1";"4"
"265402";"BundesLiga";"2023-12-09";"Union Berlin";"M'gladbach";"3";"1";"4";"H";"1";"0";"H";"6";"7";"13";"1";"3";"0";"0";"1";"4"
"265403";"BundesLiga";"2023-12-09";"Werder Bremen";"Augsburg";"2";"0";"2";"H";"1";"0";"H";"5";"2";"7";"1";"2";"0";"0";"1";"3"
"265404";"BundesLiga";"2023-12-09";"Wolfsburg";"Freiburg";"0";"1";"1";"A";"0";"0";"D";"5";"3";"8";"1";"4";"0";"0";"0";"5"
"265405";"BundesLiga";"2023-12-09";"Dortmund";"RB Leipzig";"2";"3";"5";"A";"1";"1";"D";"6";"6";"12";"1";"3";"1";"0";"2";"5"
"265406";"Premier League";"2023-12-09";"Crystal Palace";"Liverpool";"1";"2";"3";"A";"0";"0";"D";"6";"5";"11";"5";"2";"1";"0";"0";"8"
"265407";"Premier League";"2023-12-09";"Brighton";"Burnley";"1";"1";"2";"D";"0";"1";"A";"9";"1";"10";"0";"4";"0";"0";"1";"4"
"265408";"Premier League";"2023-12-09";"Man United";"Bournemouth";"0";"3";"3";"A";"0";"1";"A";"10";"4";"14";"3";"1";"0";"0";"1";"4"
"265409";"Premier League";"2023-12-09";"Sheffield United";"Brentford";"1";"0";"1";"H";"1";"0";"H";"3";"4";"7";"5";"1";"0";"0";"1";"6"
"265410";"Premier League";"2023-12-09";"Wolves";"Nott'm Forest";"1";"1";"2";"D";"1";"1";"D";"4";"3";"7";"0";"1";"0";"0";"2";"1"
"265411";"Premier League";"2023-12-09";"Aston Villa";"Arsenal";"1";"0";"1";"H";"1";"0";"H";"3";"3";"6";"4";"2";"0";"0";"1";"6"
"265412";"Ligue 1";"2023-12-09";"Rennes";"Monaco";"1";"2";"3";"A";"0";"0";"D";"5";"5";"10";"3";"6";"0";"1";"0";"10"
"265413";"Ligue 1";"2023-12-09";"Paris SG";"Nantes";"2";"1";"3";"H";"1";"0";"H";"5";"3";"8";"1";"3";"0";"0";"1";"4"
"265414";"Serie A";"2023-12-09";"Verona";"Lazio";"1";"1";"2";"D";"0";"1";"A";"1";"7";"8";"2";"4";"1";"0";"1";"7"
"265415";"Serie A";"2023-12-09";"Atalanta";"Milan";"3";"2";"5";"H";"1";"1";"D";"6";"4";"10";"1";"5";"0";"1";"2";"7"
"265416";"Serie A";"2023-12-09";"Inter";"Udinese";"4";"0";"4";"H";"3";"0";"H";"6";"1";"7";"0";"1";"0";"0";"3";"1"
"265417";"Liga Portugal";"2023-12-09";"Portimonense";"Famalicao";"1";"1";"2";"D";"0";"1";"A";"2";"5";"7";"4";"1";"1";"0";"1";"6"
"265418";"Liga Portugal";"2023-12-09";"Guimaraes";"Sp Lisbon";"3";"2";"5";"H";"1";"1";"D";"1";"6";"7";"4";"1";"0";"0";"2";"5"
"265419";"Liga Portugal";"2023-12-09";"Porto";"Casa Pia";"3";"1";"4";"H";"1";"0";"H";"4";"1";"5";"3";"1";"0";"0";"1";"4"
"265420";"LaLiga";"2023-12-09";"Alaves";"Las Palmas";"0";"1";"1";"A";"0";"1";"A";"12";"3";"15";"3";"4";"0";"0";"1";"7"
"265421";"LaLiga";"2023-12-09";"Betis";"Real Madrid";"1";"1";"2";"D";"0";"0";"D";"8";"6";"14";"2";"1";"0";"0";"0";"3"
"265422";"LaLiga";"2023-12-09";"Villarreal";"Sociedad";"0";"3";"3";"A";"0";"3";"A";"5";"3";"8";"2";"1";"0";"0";"3";"3"
"265423";"LaLiga";"2023-12-09";"Mallorca";"Sevilla";"1";"0";"1";"H";"1";"0";"H";"4";"12";"16";"2";"2";"0";"0";"1";"4"
"265424";"BundesLiga";"2023-12-08";"Hoffenheim";"Bochum";"3";"1";"4";"H";"2";"0";"H";"4";"5";"9";"3";"2";"0";"0";"2";"5"
"265425";"Ligue 1";"2023-12-08";"Montpellier";"Lens";"0";"0";"0";"D";"0";"0";"D";"4";"3";"7";"2";"3";"0";"0";"0";"5"
"265426";"Serie A";"2023-12-08";"Juventus";"Napoli";"1";"0";"1";"H";"0";"0";"D";"3";"6";"9";"2";"4";"0";"0";"0";"6"
"265427";"Liga Portugal";"2023-12-08";"Vizela";"Sp Braga";"1";"3";"4";"A";"0";"1";"A";"7";"6";"13";"3";"1";"0";"0";"1";"4"
"265428";"Liga Portugal";"2023-12-08";"Benfica";"Farense";"1";"1";"2";"D";"0";"0";"D";"15";"3";"18";"2";"3";"0";"0";"0";"5"
"265429";"LaLiga";"2023-12-08";"Getafe";"Valencia";"1";"0";"1";"H";"0";"0";"D";"7";"0";"7";"2";"4";"1";"2";"0";"9"
"265430";"Premier League";"2023-12-07";"Everton";"Newcastle";"3";"0";"3";"H";"0";"0";"D";"5";"2";"7";"3";"0";"0";"0";"0";"3"
"265431";"Premier League";"2023-12-07";"Tottenham";"West Ham";"1";"2";"3";"A";"1";"0";"H";"8";"4";"12";"3";"3";"0";"0";"1";"6"
"265432";"Ligue 1";"2023-12-07";"Brest";"Strasbourg";"1";"1";"2";"D";"1";"0";"H";"6";"0";"6";"1";"0";"0";"0";"1";"1"
"265433";"Premier League";"2023-12-06";"Brighton";"Brentford";"2";"1";"3";"H";"1";"1";"D";"7";"3";"10";"3";"1";"0";"0";"2";"4"
"265434";"Premier League";"2023-12-06";"Crystal Palace";"Bournemouth";"0";"2";"2";"A";"0";"1";"A";"3";"9";"12";"1";"3";"0";"0";"1";"4"
